years,months,BETA0,BETA1,BETA2,BETA3
0,0,3.529464531283381,2.381051109424985,-3.888110240391321,22.61710634552523
0,0,3.531232745909305,2.3822439842532885,-3.890058131731021,22.62843721395634
0,0,3.5329583565398615,2.383408117529003,-3.8919590898803733,22.639495072392467
0,0,3.534641729075494,2.384543756096275,-3.89381351792071,22.65028226555451
0,0,3.5362832269586906,2.385651145141061,-3.8956218162256424,22.660801122412582
0,0,3.5378832117326082,2.3867305285679894,-3.8973843830764494,22.671053959765718
0,0,3.539442042817623,2.3877821488496163,-3.8991016144159247,22.681043080810003
0,0,3.543875172614355,2.390772831579865,-3.9039852156553994,22.70945095037988
0,0,3.55612128511786,2.3990343169990176,-3.917475714003756,22.78792507197994
0,0,3.5571404444415458,2.3997218633440323,-3.9185984349626697,22.79445593086874
0,0,3.545272936893232,2.391715792801726,-3.9055250134230737,22.718407941748154
0,0,3.5466313105088605,2.3926321802525243,-3.9070214178545077,22.727112514424636
0,0,3.5479506394745783,2.3935222273601453,-3.9084748101231037,22.735566885691973
0,0,3.5492312674574893,2.394386165969655,-3.9098855688176184,22.74377325779795
0,0,3.550473536001917,2.3952242264940478,-3.9112540701883205,22.75173381938739
0,0,3.5516777845294047,2.396036637914246,-3.912580688146994,22.759450745502164
0,0,3.552844349891812,2.3968236274776076,-3.91386579377462,22.766926194717396
0,0,3.5539735670416674,2.3975854211501644,-3.9151097560598522,22.774162313437134
0,0,3.555065768696995,2.3983222433905023,-3.9163129415297755,22.781161233746534
0,0,2.056270885587064,1.3872036480346963,-2.26521836851055,13.176757233941991
0,0,2.094290149945738,1.4128522445224545,-2.3071009514845042,13.420387886001865
0,0,2.1004360828519286,1.4169984203049366,-2.3138714019189868,13.459771542332655
0,0,2.05784627391859,1.388266438183544,-2.266953839557251,13.18685245521814
0,0,2.0599756801020157,1.389702980443856,-2.269299624849707,13.20049786960791
0,0,2.062635557242668,1.3914973895845482,-2.272229784781075,13.217542586624596
0,0,2.065803151025341,1.3936343150653374,-2.2757192528617565,13.237840794697561
0,0,2.0694564740174717,1.3960989237011234,-2.279743807411394,13.261251596504806
0,0,2.0735742816481935,1.3988768834569518,-2.2842800450970437,13.287638855044728
0,0,2.078136048299118,1.4019543473183527,-2.2893053545944264,13.316871040423823
0,0,2.083121944065464,1.4053179376139093,-2.2947978909876467,13.34882108094007
0,0,2.0885128127461723,1.408954731166924,-2.300736551522775,13.383366222041687
0,0,3.5581235729060077,2.4003851025125424,-3.9196814637950643,22.80075590097326
0,0,3.566043289498756,2.4057279101289257,-3.9284059405286684,22.851506112745323
0,0,3.5666509618746347,2.406137858712323,-3.9290753613902507,22.855400128573123
0,0,3.559070993956066,2.401024252707236,-3.92072515681253,22.806827054955185
0,0,3.5599830293606614,2.4016395310002174,-3.921729868480483,22.812671454737018
0,0,3.5608599984307774,2.4022311528054017,-3.9226959505566175,22.818291146490466
0,0,3.561702218242891,2.4027993320292578,-3.9236237523370616,22.823688162068336
0,0,3.562510003862424,2.4033442812215555,-3.924513620902536,22.828864520436422
0,0,3.56328366812029,2.403866211424618,-3.925365900872195,22.833822226241594
0,0,3.564023521389448,2.40436533202258,-3.9261809341574714,22.838563268379943
0,0,3.5647298722552487,2.404841851193619,-3.9269590607005456,22.843089624292425
0,0,3.5654030269568135,2.405295975533096,-3.927700617858954,22.847403256385153
0,0,3.5672263438434997,2.406526023507058,-3.9297092106626974,22.859087224749832
0,0,3.571268625600294,2.4092530319176295,-3.9341622479304847,22.884990507120754
0,0,3.5715079928671223,2.40941451411732,-3.934425938445893,22.886524392751706
0,0,3.567769733153348,2.4068926053801993,-3.930307816349598,22.862569309269716
0,0,3.5682814252059423,2.4072378036159985,-3.930871503869896,22.86584827509218
0,0,3.5687617133919916,2.4075618161420063,-3.931400596427128,22.868926002289633
0,0,3.5692108890911465,2.4078648395290725,-3.93189541500942,22.871804358047445
0,0,3.569629241336828,2.40814706876523,-3.9323562780202557,22.87448519451615
0,0,3.5700170571513996,2.4084086974818115,-3.932783501647709,22.876970350959258
0,0,3.570374621769621,2.4086499181041923,-3.9331774001106017,22.879261655185164
0,0,3.570702217744843,2.408870921248814,-3.933538284673878,22.881360917819563
0,0,3.571000126177988,2.40907189655228,-3.933866465002464,22.88326994018087
0,0,3.5717185025993246,2.4095565284163625,-3.9346578390750744,22.887873356867306
0,0,3.5722954156520665,2.409945726112528,-3.9352933750121264,22.89157026435861
0,0,3.5722060445522077,2.4098854344862533,-3.935194922488953,22.89099756681432
