years,months,BETA0,BETA1,BETA2,BETA3
1,7,2.3325970086829573,1.5736190705807727,-2.5696233056827356,14.947478332486082
1,8,2.1869523411885146,1.4753641103606803,-2.4091789895196776,14.014175021407706
1,8,2.363493774751843,1.5944626797101198,-2.6036596393765974,15.14546741488627
1,9,2.2058426207765804,1.488107890832716,-2.429988800429863,14.135225525968133
1,9,2.39558419153063,1.6161115507487123,-2.6390109163168014,15.351105511692454
1,10,2.225510521486682,1.5013762708917218,-2.4516552502497,14.261259092253004
1,10,2.4287342957719025,1.6384753092683466,-2.675529560612021,15.563534175118484
1,11,2.24589789453185,1.5151300221412936,-2.4741142814168926,14.391903097931902
1,11,2.4628198027698427,1.6614701101888272,-2.7130786583952564,15.781956978288925
2,0,2.266949208067442,1.529331681629439,-2.497304719231453,14.526801690261529
2,0,2.4977254586885143,1.6850182008449865,-2.751531244339112,16.005635364904087
2,1,2.288611442392785,1.5439454811493982,-2.521168156408281,14.665615114528983
2,1,2.533344436016118,1.7090475131473928,-2.7907696356792746,16.233884775259924
2,2,2.310833991521164,1.5589372808366833,-2.54564884464521,14.808019083303941
2,2,2.569577766670684,1.7334912811435104,-2.830684807715379,16.46607101354149
2,3,2.3335685665374135,1.5742745039720758,-2.5706935881603075,14.953704157145971
2,3,2.606333814097905,1.758287684883779,-2.8711758122661797,16.70160686498135
2,4,2.356769103647974,1.5899260749502573,-2.5962516423984523,15.102375155381516
2,4,2.6435277777693096,1.7833795161456472,-2.91214923181743,16.93994892064209
2,5,2.380391675470983,1.6058623594342367,-2.6222746163071955,15.253750587643342
2,5,2.681081230974588,1.8087138666185372,-2.953518670347078,17.180594615550564
2,6,2.4043944052312236,1.6220551064694555,-2.6487163778126446,15.407562104024516
2,6,2.71892168866803,1.8342418363639528,-2.995204277258523,17.423079459421405
2,7,2.428737384642009,1.6384773930851773,-2.6755329633569374,15.563553968858601
2,7,2.756982203581465,1.8599182613447607,-3.0371323024526684,17.666974448514722
2,8,2.4533825949153765,1.6551035710063013,-2.702682490881906,15.72148255454633
2,8,2.7952009881457593,1.885701458365471,-3.079234679831061,17.911883642877147
2,9,2.478293830677143,1.6719092153248556,-2.730125076012775,15.881115853996842
2,9,2.8335210624443117,1.9115529875742483,-3.1214486394762595,18.157441910398152
2,10,2.503436626339909,1.6888710748296758,-2.7578227509495794,16.042233008819707
2,10,2.8718899240647118,1.9374374297378891,-3.1637163439555533,18.403312811191647
2,11,2.5287781856043843,1.705967024446514,-2.785739386804781,16.204623857563455
2,11,2.9102592402954657,1.96332217859125,-3.205984549240325,18.649186625166625
3,0,2.554287314424185,1.723176020014679,-2.8138406197563035,16.368088506148364
3,0,2.948584560768457,1.989177246979797,-3.2482042881487456,18.894778510615826
3,1,2.57993435452927,1.7404780534405468,-2.842093777815962,16.532436901879016
3,1,2.9868250485360837,2.014975085438582,-3.290330574096378,19.13982678093537
3,2,2.605691121865283,1.7578541111674435,-2.870467813013339,16.69748843895842
3,2,3.0249432289127247,2.0406904127554033,-3.3323221244162253,19.384091295179665
3,3,2.631530845368074,1.775286132871649,-2.898933233948891,16.863071566149976
3,3,3.0629047561922578,2.066300058593531,-3.374141103371307,19.627351963167612
3,4,2.65742810931343,1.7927569725703103,-2.92746204228556,17.029023417349705
3,4,3.100678193660892,2.091782815083729,-3.4157528798135464,19.86940733578627
3,5,2.683358797230964,1.810250360784569,-2.9560276709634876,17.19518945218169
3,5,3.1382348105922464,2.117119299872863,-3.457125803550552,20.110073304118224
3,6,2.7093000386111297,1.8277508685869932,-2.984604925491672,17.361423114492162
3,6,3.1755483908618687,2.1422918270112215,-3.4982309945125443,20.349181873027252
3,7,2.7352301567294974,1.8452438724027336,-3.0131699264704244,17.52758549800304
3,7,3.2125950556391407,2.167284287336738,-3.539042147427142,20.586580024953122
3,8,2.761128619487609,1.8627155208457284,-3.041700055436926,17.693545031295997
3,8,3.249353097028266,2.192082036245704,-3.579535348555818,20.82212865386901
3,9,2.7869759910359115,1.880152702082517,-3.070173901572337,17.85917716780813
3,9,3.285802823552145,2.2166717894529313,-3.6196889054766537,21.055701575129145
3,10,2.8127538864132755,1.8975430132311024,-3.0985712117320228,18.024364095158173
3,10,3.3219264156915256,2.241041525535422,-3.659483187944134,21.287184599751487
3,11,2.8384449274154884,1.9148747305889076,-3.1268728418296328,18.188994452348084
3,11,3.3577077910325346,2.265180394958054,-3.6989004793336795,21.516474670271755
4,0,2.8640326995810073,1.9321367806144587,-3.155060709451971,18.352963054124107
4,0,3.3931324787991364,2.2890786354305344,-3.7379248384247474,21.743479056736838
4,1,2.889501711969838,1.94931871279337,-3.1831177495508154,18.516170633236463
4,1,3.428187502653265,2.3127274928419,-3.7765419702917273,21.968114605678156
4,2,2.9148373575010464,1.966410672881193,-3.2110278707501343,18.67852358627875
4,2,3.4628612716509055,2.3361191476971923,-3.814739106179552,22.19030704134903
4,3,2.9400258758599502,1.9834033778798268,-3.2387759144841017,18.839933735994123
4,3,3.4971434783485944,2.359246646377959,-3.8525048912563125,22.40999031278255
4,4,2.965054316405307,2.0002880910139265,-3.266347614135109,19.00031809358141
4,4,3.531025003836895,2.3821038370758334,-3.889829279996731,22.627105985238074
